date,title,description,coding,second coding
2024-11-27,Maye Musk welcomes Elon's bromance with Donald Trump and says they 'just seem to be having fun' (Theron Mohamed/Business Insider),Theron Mohamed / Business Insider:Maye Musk welcomes Elon's bromance with Donald Trump and says they ‘just seem to be having fun’  — Maye Musk commented on her son's friendship with Donald Trump in a Fox Business interview.  — Elon Musk and the president-ele…,Association with Trump,neutral
2024-11-27,Elon Musk’s DOGE May Cut These Federal Agencies—As CFPB Becomes Latest Target,"Elon Musk and Vivek Ramaswamy, co-heads of the Department of Government Efficiency, have suggested they’ll make cuts in key government departments, including the Pentagon.",Association with Trump,neutral
2024-11-27,Australian lawmakers advance bill to bar under-16s from social media,Australia's House of Representatives has passed a bill that would ban children under the age of 16 from using most social media platforms.,X,neutral
2024-11-27,Will John Thune Defy Donald Trump?,Mitch McConnell's successor suggested he might need to “put the brakes” on the incoming president. But how much of a check will he actually be on Trump's power?,Association with Trump,neutral
2024-11-27,Elon Musk is already identifying government employees who Trump may fire in his second term; here are some names doing the rounds,"Elon Musk, alongside Donald Trump’s new Department of Government Efficiency, is already identifying government employees to fire, claiming many hold ""fake jobs.""",Association with Trump,neutral
2024-11-27,Capitol Hill’s DOGE-era power players,Republican lawmakers are racing to embrace Elon Musk and Vivek Ramaswamy’s push to chop up the federal government — even if their actual authority is still murky and the effort poses a potential threat to congressional power. While President-elect Donald Tru…,Association with Trump,positive
2024-11-27,"Fox’s Will Cain Says Podcasters Like Joe Rogan, Megyn Kelly ‘Earned’ Seats In White House Briefing Room as Trump Jr. Promises Shakeup","Fox News' Will Cain said podcasters like Joe Rogan and Megyn Kelly have ""earned"" seats in the White House press briefing room.The post Fox’s Will Cain Says Podcasters Like Joe Rogan, Megyn Kelly ‘Earned’ Seats In White House Briefing Room as Trump Jr. Promis…",Association with Trump,neutral
2024-11-27,DOGE can learn from North Carolina,There’s really no way to shrink federal deficits by a noticeable amount without taking on the entitlement state.,Association with Trump,neutral
2024-11-27,VMware fixed five vulnerabilities in Aria Operations product,Virtualization giant VMware addressed multiple vulnerabilities in its Aria Operations product that can led to privilege escalation and XSS attacks. VMware released security updates to address five vulnerabilities in its Aria Operations product. Aria Operation…,Side Ventures,neutral
2024-11-27,Elon Musk's xAI Reportedly Pushing to Release a Consumer App Soon,The ChatGPT rival could be coming as early as next month.,Side Ventures,neutral
2024-11-27,"Symbiotic Sense(s) part 2: lazy robots, AI-designed ceramics and cosmic radiations","Reconsidering the boundaries between self and other, human and machine, natural and artificial",Side Ventures,neutral
2024-11-27,Why 'Hot Ones' Turned Down Kamala Harris for Pre-Election Interview,"The Kamala Harris election team sat down for an interview about her loss in the 2024 Presidential Election. Specifically, senior advisors Stephanie Cutter and David Plouffe, Harris-Walz campaign chair Jen O’Malley Dillon, and deputy campaign manager Quentin F…",Politics,neutral
2024-11-27,Musk Calls for Abolishing Consumer Finance Agency: 'Delete CFPB' (Hadriana Lowenkron/Bloomberg),"Hadriana Lowenkron / Bloomberg:Musk Calls for Abolishing Consumer Finance Agency: ‘Delete CFPB’  — GOP has long sought to neutralize agency proposed by Warren  — Musk, Ramaswamy leading DOGE effort to cut federal government  —  Billionaire Elon Musk called f…",Politics,neutral
2024-11-27,Trump’s Return Is an Opportunity for India,"US President-elect Donald Trump’s plan to impose steep import tariffs spells trouble for India, which runs a growing trade surplus with the United States. But by opening its domestic market to US businesses and pursuing a bilateral trade agreement, India coul…",Association with Trump,neutral
2024-11-27,Musk Calls for Abolishing Consumer Finance Agency,"""Elon Musk called for eliminating the Consumer Financial Protection Bureau, highlighting the renewed threat under President-elect Donald Trump to a regulatory agency that has long been a target of Republicans and business advocacy groups,"" Bloomberg reports.",Politics,negative
2024-11-27,"Trump’s NIH Pick, Jay Bhattacharya, Is as Bad as It Gets","Donald Trump’s pick to lead the National Institutes of Health has a long history of criticism towards the agency. The Washington Post reports that Jay Bhattacharya, a physician and economist at Stanford University, was described as “fringe” by the head of t…",Association with Trump,neutral
2024-11-27,Trump's Budget Cutters Set Themselves Up To Fail,"<p>President-elect Donald Trump&rsquo;s designated debt-busters, Elon Musk and Vivek Ramaswamy, last week wrote an op-ed in the Wall Street Journal providing the fullest accounting yet of their plans to cut &ldquo;waste, fraud and abuse&rdquo; &mdash; that mo…",Association with Trump,negative
2024-11-27,"Dogecoin Overtakes Porsche Amid First-Ever Dogecoin ETP Debuting On Swedish Stock Exchange, Elon Musk Endorsement","Leading meme coin Dogecoin has overtaken German luxury automaker Porsche in terms of market cap, catapulted by the launch of an ETP for DOGE.",Side Ventures,neutral
2024-11-27,Elon Musk publicized the names of government employees he wants to cut. It’s terrifying federal workers,"When President-elect Donald Trump said Elon Musk and Vivek Ramaswamy would recommend major cuts to the federal government in his administration, many public employees knew that their jobs could be on the line.Now they have a new fear: becoming the personal t…",Association with Trump,neutral
2024-11-27,MPs to debate petition calling for another election,"A petition calling for another vote will be debated in January, after gathering 2.7m signatures.",Politics,neutral
2024-11-27,Trump Finally Signs Transition Documents—With One Giant Catch,"Donald Trump is shirking decades-old norms intended to make the transfer of power smoother, according to The New York Times.After weeks of delays, the president-elect’s team has finally signed a standard transition agreement with the White House to start br…",Association with Trump,neutral
2024-11-27,U.N. Chief Demands Governments 'Rein in Hate Speech and Disinformation Online',"United Nations Secretary-General Antonio Guterres encouraged world governments on Tuesday to ""rein in hate speech and disinformation spreading online"" through a global censorship framework.The post U.N. Chief Demands Governments ‘Rein in Hate Speech and Disi…",Politics,neutral
2024-11-27,Tesla Is Looking to Hire a Team to Remotely Control Its ‘Self-Driving’ Robotaxis,"Elon Musk's ""fully autonomous"" cars will, like other robotaxi vehicles, rely on remote human pilots.",Electric Vehicles,neutral
2024-11-27,I switched from X to Bluesky: What I love and hate about it so far,"Along with millions of other people who no longer enjoy the social media platform formerly known as Twitter, I recently switched from X to Bluesky. I still have an account on X, but it’s pretty much inactive now that I’m spending my time on Bluesky instead. A…",X,neutral
2024-11-27,"Elon Musk's money is 'the reason we won,' says Trump ally Steve Bannon","According to a longtime GOP strategist and ally of President-elect Donald Trump, Elon Musk’s massive financial contributions are the reason he will become the 47th president of the United States.Read more...",Association with Trump,positive
2024-11-27,Donald Trump Jr. says podcasters may be in White House press room’s future,"Donald Trump Jr. suggested that his father, President-elect Donald Trump, would boot legacy media out of the White House briefing room in favor of podcasters. “We had the conversation,” he said, “about opening up the press room to a lot of these independent j…",Association with Trump,neutral
2024-11-27,Elon Musk's relationship with Donald Trump revealed. Tesla CEO's mother says 'there’s a future for America now',"Maye Musk, the mother of Elon Musk, recently shared insights into her son's relationship with President-elect Donald Trump. During an interview on Varney & Co., she described their bond as friendly and respectful, noting that they often have fun together duri…",Association with Trump,positive
2024-11-27,SoftBank Reportedly Eyeing $1.5 Billion OpenAI Stock Purchase,"SoftBank reportedly wants to purchase $1.5 billion in OpenAI stock. It’s part of an effort by SoftBank Group CEO Masayoshi Son to strengthen the company’s stake in OpenAI and position it as an artificial intelligence (AI) leader, the Financial Times (FT) repo…",Side Ventures,neutral
2024-11-27,Elon Musk's xAI Reportedly Pushing to Release a Consumer App Soon,The ChatGPT rival could be coming as early as next month.,Side Ventures,neutral
2024-11-27,The world reacts to Donald Trump's latest trade plans,"Donald Trump's new trade proposals target China, Mexico, and Canada.",Association with Trump,neutral
2024-11-27,Is the G77 the Future of Multilateralism?,"Despite its large membership, or perhaps because of it, the Group of 77 has struggled to define its identity in a rapidly changing geopolitical landscape. But its proven ability to build multilateral coalitions could position it to lead the international resi…",Politics,neutral
2024-11-27,Tesla and BYD are gearing up for another round in China's brutal EV battle,Elon Musk's EV maker and BYD are asking suppliers to cut prices and rolling out discounts as they brace for another round in China's brutal EV battle.,Electric Vehicles,neutral
2024-11-27,Elon Musk Is Wrong: Why Drones Can't Replace the F-35 Fighter,"Pity the poor F-35 Lightning II. Though she’s the pride and joy of Lockheed Martin’s legendary “Skunk Works” division and has been praised by her foreign users, she is the proverbial “unloved redheaded stepchild” of the fifth-generation stealth fighter world.…",Side Ventures,neutral
2024-11-27,Elon Musk publicized the names of government employees he wants to cut. It’s terrifying federal workers | CNN Business,"When President-elect Donald Trump said Elon Musk and Vivek Ramaswamy would recommend major cuts to the federal government in his administration, many public employees knew that their jobs could be on the line.",Association with Trump,neutral
2024-11-27,Don't Sell DOGE Short - Yet,"When he returns to the White House early next year, President-elect Donald Trump plans to appoint Elon Musk and Vivek Ramaswamy to head a new Department of Government Efficiency, or DOGE. While not an official federal department, the Administration’s plans fo…",Association with Trump,positive
2024-11-27,Fair Observer Too Has Reason to Be Unhappy About HR9495,"The Minnesota Reporter describes a case of what is classically termed flip-flopping in United States politics. It concerns Rep. Angie Craig and 51 other Democrats, who in their majority have suddenly changed their opinion regarding a measure on a piece of leg…",Politics,neutral
2024-11-27,"Trump Taps Dr. Jay Bhattacharya, Who Bravely Challenged Covid Lockdown Policies, to Lead NIH","Bhattacharya is a champion of the people and real science, who vows to ""reform American scientific institutions so that they are worthy of trust again.""The post Trump Taps Dr. Jay Bhattacharya, Who Bravely Challenged Covid Lockdown Policies, to Lead NIH firs…",Association with Trump,neutral
2024-11-27,Familiar Sayings Updated for the Next Four Years,"Don’t bite the hand that feeds you McDonald’s. You can lead a horse to water, but you can’t make him use an all-gender bathroom. It takes a village to run the Department of Government Efficiency. Two wrongs do make a right-wing conspiracy theorist. Wow, that …",Association with Trump,negative
2024-11-27,LIV Golf star Bryson DeChambeau reveals space aspirations while taking in SpaceX rocket launch,LIV Golf star Bryson DeChambeau expressed interest in going to space while he was at a SpaceX rocket launch in Texas. He appeared in Kai Trump's vlog.,Space Exploration,neutral
2024-11-27,John Lennon's Son's Joe Rogan Comment Takes Off Online,"Seán Ono Lennon said on X that podcaster Joe Rogan was neither from the left nor the right politically, despite claims to the contrary.",X,neutral
2024-11-27,Elon Musk publicized the names of government employees he wants to cut. It’s terrifying federal workers,"When President-elect Donald Trump said Elon Musk and Vivek Ramaswamy would recommend major cuts to the federal government in his administration, many public employees knew that their jobs could be on the line.",Association with Trump,neutral
2024-11-27,"Who is Jay Bhattacharya, Trump’s anti-lockdown pick to head the NIH?","Bhattacharya would lead the National Institutes of Health, the primary agency in the US for public health research.",Association with Trump,neutral
2024-11-27,Quote of the Day,"“Elon and I disagree on some things, but Elon deserves his place at the table. He stroked a $150 million check for the ground game, which is not sexy, at the exact moment we needed it. He came in with the money and the professionals. To be brutally frank, it’…",Politics,positive
2024-11-27,Why the $72B software company Workday is psyched about DOGE,"Elon Musk and Vivek Ramaswamy have plans for DOGE, and Workday sees an opportunity.Workday aims to capitalize on federal agencies' shift from on-premises to cloud systems, its CEO said.The federal government, the largest US employer, could face layoffs unde…",Association with Trump,neutral
2024-11-27,Elon Musk’s Money: How He Made It And Spends It,Here’s a deep dive into Musk’s record breaking net worth including a detailed breakdown of all his assets from Tesla to Side Ventures.,Side Ventures,positive
2024-11-27,Will the Trump Administration Save TikTok? What’s Next for the Platform,"The social media app’s survival in the U.S. will hinge on its ability to secure legal wins, build political alliances, or adapt structurally to evolving demands.",Association with Trump,neutral
2024-11-27,Trump taps businessman John Phelan for Navy secretary,President-elect Donald Trump announced he is nominating businessman John Phelan to serve as the next Secretary of the Navy.,Association with Trump,neutral
2024-11-27,Prominent Lockdown Critic Chosen to Lead the NIH,"President-elect Trump has chosen health economist Dr. Jay Bhattacharya, a critic of pandemic lockdowns and vaccine mandates, to lead the National Institutes of Health, the nation's leading medical research agency, reports the AP . Trump, in a statement Tuesda…",Association with Trump,neutral
2024-11-27,La única opción de los demócratas,Project Syndicate - The World’s Opinion Page,Politics,neutral
2024-11-27,The Democrats’ Only Option,"Although a variety of factors seem to have contributed to Donald Trump’s victory in this year’s US presidential election, the message for the defeated Democrats is clear. The party must abandon neoliberalism and return to its progressive roots in the presiden…",Politics,neutral
2024-11-27,Maye Musk talks about Elon and Trump like they're toddlers on a playdate: 'They just seem to be having fun',Tesla CEO Elon Musk has been spending a lot of time with Donald Trump following his election win.Jeff Bottari/Zuffa LLCElon Musk's mother talks about his friendship with Donald Trump like they're kids on a playdate.The world's richest man and the incoming …,Association with Trump,neutral
2024-11-27,Maye Musk talks about Elon and Trump like they're toddlers on a playdate: 'They just seem to be having fun',"It's ""nice for both of them to have fun,"" Elon Musk's mother Maye said of the bromance between the world's richest person and the president-elect.",Association with Trump,neutral
2024-11-27,"Dell's AI business is booming, but shares plunged after it cut its revenue outlook","Dell shares were down 12% in premarket trading after its Q3 earnings report, which showed a slightly lower forecast for revenues in the next quarter.",Side Ventures,neutral
2024-11-27,"Operation Serengeti: INTERPOL arrested 1,006 suspects in 19 African countries","Operation Serengeti: INTERPOL arrested 1,006 suspects in 19 African countries and dismantled 134,089 malicious networks. A joint law enforcement operation by INTERPOL and AFRIPOL across 19 African countries, dubbed Operation Serengeti, led to the arrest of 1,…",Politics,neutral
2024-11-27,"Election fraud claims shifted after Trump’s victory, but baseless theories persisted","In the months preceding the 2024 election and during early voting, PolitiFact fact-checked numerous claims about election fraud. Most were about vote counting, mail-in ballots and voting machines, but there […]The post Election fraud claims shifted after Tru…",Association with Trump,neutral
2024-11-27,China’s secret weapon in the space race is already hurting us,China is determined to be a leader in space technology and to pass the US. There's one key problem holding Americans back from defeating the Chinese -- our own government.,Space Exploration,neutral
2024-11-27,A Corporate Media System Bound to Capitalism Delivers for Trump for a Second Time,"Once again, the 2024 election provided us an opportunity to test whether the U.S. media system can withstand the pressures of an authoritarian threat. And once again, we observed a media system that far too often privileged profit over democratic concerns. Th…",Association with Trump,neutral
2024-11-27,Elon Musk Declared War on the F-35 Fighter,"Elon Musk Said 'Idiots' Are Still Building Manned Fighter Jets: Tech entrepreneur Elon Musk likely walks into a room and he ""knows"" (at least in his mind) that he's the smartest person – and yet, he has a long history of saying (and doing) really stupid thing…",Side Ventures,negative
2024-11-27,NRG Energy (NRG) Powers AI Revolution: Analyst Upgrade and Growth Plan Boost Stock,"We recently published a list of 15 AI News Updates Wall Street Is Monitoring. In this article, we are going to take a look at where NRG Energy, Inc...",Side Ventures,neutral
2024-11-27,"Elon Musk is not happy with Microsoft's gaming division, shares complaint with CEO Satya Nadella","Elon Musk accused Microsoft's gaming division of discriminatory hiring practices after podcaster Ian Miles Cheong alleged they excluded white men.  Cheong cited an art director's social media posts as evidence, while Musk also referenced a past incident invol…",Side Ventures,neutral
2024-11-27,Trump's DOGE may cut nearly a million federal jobs: Here’s the list of 10 highest-paying federal roles,"President-elect Trump has appointed Elon Musk and Vivek Ramaswamy to lead a new Department of Government Efficiency (DOGE), aiming to slash the federal budget by 30% and potentially halve the 2.3 million civilian workforce. High-earning federal roles, includi…",Association with Trump,neutral
2024-11-27,Intel wins $7.9 billion award under CHIPS Act,"Plus: Bitcoin record, Starlink approval, Google tweaks in the latest edition of Fortune's flagship tech newsletter.",Side Ventures,neutral
2024-11-27,Huge $15 Trillion Bitcoin Price Bet Helps Stem Sudden Crypto Sell-Off,11/27 update below. This post was originally published on November 26Bitcoin and crypto prices have crashed following their huge rally on the back of Donald Trump's U.S. election victory (despite Elon Musk quietly confirming a crypto market game-changer).Un…,Side Ventures,neutral
2024-11-27,What is Bluesky? Why tens of millions of people are heading for a ‘decentralised’ social media platform,"After Elon Musk bought Twitter (now rebranded X) in 2022, disaffected users began to seek alternatives. Alongside Meta’s Threads and the open source project Mastodon, Bluesky was one of several contenders.Threads benefited from Meta’s existing user base but …",X,neutral
2024-11-27,Elon Musk’s SpaceX Will Launch NASA’s Most Exciting Mission For Decades - Forbes,Elon Musk’s SpaceX Will Launch NASA’s Most Exciting Mission For DecadesForbes NASA Awards Launch Services Contract for Dragonfly MissionNASA NASA's nuclear-powered Dragonfly helicopter will ride a SpaceX Falcon Heavy rocket toward Saturn moon TitanSpace.com S…,Space Exploration,positive
2024-11-27,Valour Launches First Dogecoin ($DOGE) ETP in the Nordics via Sweden’s Spotlight Stock Market,"DeFi Technologies Inc., a crypto-focused financial technology firm, has announced the listing of the first Dogecoin (DOGE) exchange-traded product (ETP) in the Nordic region through its subsidiary, Valour Inc. The Valour Dogecoin (DOGE) ETP, now trading on th…",Side Ventures,neutral
2024-11-27,"Trump picks Jay Bhattacharya, who backed COVID herd immunity, to lead National Institutes of Health","President-elect Donald Trump has chosen health economist Dr. Jay Bhattacharya, a critic of pandemic lockdowns and vaccine mandates, to lead the National Institutes of Health, the nation’s leading medical research agency.",Association with Trump,neutral
2024-11-27,Australia's Lower House Passes Bill To Ban Social Media For Children Under 16,"The proposed law would require social media platforms to implement age-verification measures, with companies facing fines of up to AU$49.5 million for repeated violations.",Politics,neutral
2024-11-27,Want to cut government waste? Start with the penny says U.S. Senator to Musk,Countries like Canada and Australia have stopped producing one-cent coins for more than a decade. Sweden was a first mover in 1972.,Politics,positive
2024-11-27,Study shows Tesla has the highest fatal accident rate of any car brand,Tesla's long-standing reputation for producing the safest vehicles on the road has been called into question by a recent study from auto research firm iSeeCars. The report reveals that Tesla vehicles have the highest rate of fatal accidents among all car bran…,Electric Vehicles,neutral
2024-11-27,Huge $15 Trillion Bitcoin Price Bet Helps Stem Sudden Crypto Sell-Off,Crypto traders are nervously eyeing how low the bitcoin price could fall...,Side Ventures,neutral
2024-11-27,Trump's budget plans push US government lawyers to private sector,Trump's budget plans push US government lawyers to private sector,Association with Trump,neutral
2024-11-27,"The new ‘land grab’ for AI companies, from Meta to OpenAI, is military contracts","Silicon Valley generative AI companies are getting over their aversion to working with the U.S. Department of Defense, as the pressure builds to get returns on massive AI investments.",Politics,neutral
2024-11-27,Rocket launch attendees share hopes about Elon Musk’s prediction for Mars travel by 2026,Attendees of a SpaceX rocket launch in Texas shared their thoughts on how soon Elon Musk will be able to send manned or unmanned spacecraft to Mars.,Space Exploration,positive
2024-11-27,Bathrooms Are Not the Real Battlefield,"Sarah McBride was elected to Congress on November 5. As the Democratic candidate in Delaware, the result should have been a no-news story, an inevitable outcome in that one-party state. But McBride is no ordinary woman. In fact, McBride’s a “he” now presentin…",Politics,neutral
2024-11-27,"Even if you think education is a local issue, STEM is key to national security","Across the board, American K-12 students struggle to meet math and reading proficiency standards.",Politics,neutral
2024-11-27,"Chamath Palihapitiya Says Elon Musk, Vivek Ramaswamy-Led DOGE Could Usher In 'Economic Renaissance' With A 100-200 Basis Point GDP Surge","During a recent episode of the “All-In Podcast,” Chamath Palihapitiya discussed the potential impact of Elon Musk and Vivek Ramaswamy using the Department of Government Efficiency (DOGE) to simplify the U.S. tax code.What Happened: Palihapitiya highlighted t…",Association with Trump,positive
2024-11-27,Would Marc Cuban Buy MSNBC? Billionaire Reacts,"Democrat billionaire Marc Cuban has been asked if he would like to buy news network MSNBC, after the world's richest man, Elon Musk, showed an interest.And his answer was not at all encouraging for owner Comcast, which has said the network is not for sale.O…",Side Ventures,neutral
2024-11-27,Would Marc Cuban Buy MSNBC? Billionaire Reacts,"Comcast has denied that it will sell MSNBC as part of a corporate restructure, but Elon Musk has shown interest in buying it.",Side Ventures,neutral
2024-11-27,Crazy Town 94. Breaking News: Crazy Town Joins the Newly Formed Department of Entropy,"After a full season of trying to escape more than a dozen evil -isms (fun things like capitalism, industrialism, extremism, and otherism), Rob, Jason, and Asher come to one conclusion: there is no true escape -- at least not for those of us who want to help t…",Politics,neutral
2024-11-27,How to Beat the “King” of Debt at His Own Game,The Trump Administration will drive everyday Americans dramatically deeper in debt. But we can fight back.,Association with Trump,neutral
2024-11-27,The Limits of a Trump-Putin Deal on Ukraine,"Russian interest in peace is no given, and Europe may not be on board.",Association with Trump,neutral
2024-11-27,How DSPM Helps Businesses Meet Compliance Requirements,"Data Security Posture Management (DSPM) helps monitor, secure, and ensure compliance for sensitive data, reducing risks across diverse environments. Complying with cybersecurity regulations can be a source of great pain for organizations, especially those tha…",Side Ventures,neutral
2024-11-27,Postal worker celebrating Thanksgiving with man whose life he saved,"Your support helps us to tell the storyFrom reproductive rights to climate change to Big Tech, The Independent is on the ground when the story is developing. Whether it's investigating the financials of Elon Musk's pro-Trump PAC or producing our latest docum…",Association with Trump,neutral
2024-11-27,Bluesky to quadruple its moderation team due to surge in new users,"The decentralised social media said that the ""huge influx of users"" has led to ""a predictable uptick in harmful content posted to the network"".Bluesky, the decentralised social media platform positioning itself as a potential rival to Elon Musk’s X, has anno…",X,neutral
2024-11-27,Inside 'Force One': Trump's Granddaughter's Lavish Journey To SpaceX Event,"Donald Trump&#039;s granddaughter, Kai, has offered a rare glimpse inside the US President-elect&#039;s private jet, Force One.",Association with Trump,neutral
